n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.072;250;49.49;49.49;4.41;4.46
10;50;0.2;0.4;0.028;250;49.49;49.49;4.44;4.52
10;50;0.5;0;0.064;250;32.21;32.21;4.27;4.5
10;50;0.5;0.4;0.064;250;32.21;32.21;4.37;4.75
10;50;0.8;0;0.12;108;3.71;3.71;2.88;2.89
10;50;0.8;0.4;0.14;114;3.67;3.67;2.9;2.92
10;100;0.2;0;0.08;250;98.76;98.76;4.86;4.98
10;100;0.2;0.4;0.056;250;98.76;98.76;4.98;5.19
10;100;0.5;0;0.052;250;60.14;60.14;4.94;5.54
10;100;0.5;0.4;0.052;250;60.14;60.14;5.18;5.97
10;100;0.8;0;0.149;175;5.48;5.48;3.1;3.14
10;100;0.8;0.4;0.123;171;5.59;5.59;3.14;3.18
10;150;0.2;0;0.044;250;148.29;148.29;5.15;5.31
10;150;0.2;0.4;0.04;250;148.29;148.29;5.42;5.86
10;150;0.5;0;0.048;250;89.74;89.74;5.74;6.89
10;150;0.5;0.4;0.044;250;89.74;89.74;6.07;7.56
10;150;0.8;0;0.102;205;7.66;7.66;3.28;3.32
10;150;0.8;0.4;0.076;197;7.83;7.83;3.33;3.4
20;50;0.2;0;0.16;250;50;50;5.03;5.04
20;50;0.2;0.4;0.12;250;50;50;5.06;5.07
20;50;0.5;0;0.084;250;44.88;44.88;5.16;5.27
20;50;0.5;0.4;0.068;250;44.88;44.88;5.3;5.46
20;50;0.8;0;0.549;226;7.19;7.19;3.97;4.01
20;50;0.8;0.4;0.544;226;7.19;7.19;3.98;4.02
20;100;0.2;0;0.112;250;100;100;5.45;5.47
20;100;0.2;0.4;0.056;250;100;100;5.48;5.5
20;100;0.5;0;0.056;250;85.78;85.78;5.83;6.08
20;100;0.5;0.4;0.052;250;85.78;85.78;6.17;6.7
20;100;0.8;0;0.419;248;13.24;13.24;4.35;4.43
20;100;0.8;0.4;0.402;249;13.2;13.2;4.35;4.44
20;150;0.2;0;0.06;250;150;150;5.7;5.72
20;150;0.2;0.4;0.06;250;150;150;5.74;5.76
20;150;0.5;0;0.024;250;126.5;126.5;6.25;6.68
20;150;0.5;0.4;0.036;250;126.5;126.5;7.03;7.91
20;150;0.8;0;0.382;249;18.79;18.79;4.6;4.74
20;150;0.8;0.4;0.378;249;18.79;18.79;4.61;4.79
